,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
36,237,Haywood Highsmith,MIA,36,19.0,4.7,1.8,4.4,41.5,0.8,2.2,36.3,0.2,0.5,38.9,1.1,2.7,3.8,0.7,0.8,0.3,0.8,6.6
37,238,Cory Joseph,DET,36,15.7,4.6,1.7,4.3,38.7,0.6,1.9,30.9,0.7,0.9,76.5,0.3,1.1,1.3,3.3,0.4,0.1,0.7,6.2
38,239,Dyson Daniels,NOP,39,19.9,4.5,1.8,4.0,44.5,0.5,1.5,33.3,0.5,0.7,62.1,0.7,2.8,3.5,2.5,0.9,0.3,1.1,8.1
39,240,Aaron Holiday,ATL,44,15.5,4.5,1.6,3.9,41.9,0.6,1.5,42.4,0.5,0.6,85.7,0.4,0.9,1.3,1.4,0.6,0.2,0.6,5.1
40,241,Rudy Gay,UTA,36,14.9,4.4,1.6,4.5,36.4,0.6,2.3,24.1,0.6,0.8,81.5,0.6,2.4,3.0,0.8,0.4,0.4,0.6,5.5
41,242,Bismack Biyombo,PHX,40,14.4,3.9,1.8,3.2,55.5,0.0,0.0,0.0,0.4,1.2,29.8,1.1,3.1,4.2,0.9,0.3,1.4,1.0,7.5
42,243,Jericho Sims,NYK,37,14.5,3.8,1.8,2.2,80.7,0.0,0.0,0.0,0.2,0.3,80.0,1.9,2.8,4.6,0.4,0.2,0.6,0.5,8.8
43,244,Christian Koloko,TOR,40,15.6,3.8,1.5,3.0,49.2,0.0,0.2,11.1,0.9,1.3,66.0,1.7,1.7,3.4,0.5,0.3,1.1,0.5,6.7
44,245,Luke Kornet,BOS,43,11.5,3.7,1.6,2.4,68.0,0.1,0.2,33.3,0.4,0.5,81.8,1.3,1.7,3.0,0.6,0.2,0.7,0.4,7.1
45,246,Christian Braun,DEN,45,13.7,3.6,1.5,3.2,46.5,0.4,1.0,34.0,0.4,0.6,59.3,0.6,1.4,2.0,0.6,0.3,0.2,0.4,4.4
46,247,Amir Coffey,LAC,37,13.5,3.5,1.1,3.1,37.2,0.3,0.9,30.3,1.0,1.2,80.4,0.4,0.8,1.2,1.2,0.2,0.1,0.4,3.6
47,248,Miles McBride,NYK,38,13.3,3.4,1.2,3.6,33.1,0.6,2.3,25.8,0.4,0.6,66.7,0.3,0.6,0.8,1.2,0.6,0.0,0.5,3.1
48,249,Daishen Nix,HOU,36,14.3,3.3,1.1,3.1,35.1,0.7,2.1,33.3,0.5,0.7,68.0,0.3,1.2,1.5,2.4,0.7,0.1,1.4,4.4
49,250,P.J. Tucker,PHI,45,26.5,3.3,1.2,2.8,40.6,0.6,1.7,38.7,0.4,0.4,88.9,1.3,2.8,4.1,0.8,0.5,0.2,0.7,6.5
0,251,Paul Reed,PHI,36,9.9,3.3,1.4,2.5,56.7,0.0,0.1,0.0,0.4,0.6,75.0,1.4,2.1,3.4,0.4,0.7,0.6,0.6,6.6
1,252,Juancho Hernangomez,TOR,37,15.7,3.2,1.3,2.9,43.1,0.4,1.7,25.8,0.2,0.4,56.3,0.7,2.5,3.2,0.6,0.4,0.2,0.4,5.4
2,253,Anthony Gill,WAS,36,9.8,3.0,1.2,2.0,59.7,0.1,0.5,11.8,0.6,0.7,83.3,0.5,0.9,1.4,0.5,0.1,0.1,0.1,4.1
3,254,Usman Garuba,HOU,45,13.8,3.0,1.2,2.3,51.0,0.2,0.5,40.9,0.4,0.8,52.8,1.8,2.9,4.7,1.0,0.7,0.5,0.7,7.6
4,255,JT Thor,CHA,37,11.0,2.7,0.9,2.6,35.7,0.4,1.4,25.0,0.5,0.6,73.9,0.5,1.3,1.8,0.4,0.2,0.2,0.5,3.0
5,256,Matisse Thybulle,PHI,43,12.1,2.5,1.0,2.3,42.6,0.4,1.3,31.6,0.1,0.2,62.5,0.3,0.9,1.2,0.5,0.8,0.3,0.2,3.8
6,257,KZ Okpala,SAC,34,7.2,1.4,0.5,1.1,44.4,0.2,0.6,35.0,0.2,0.2,87.5,0.2,0.8,1.0,0.4,0.2,0.2,0.2,2.3
